N,P,K,temperature,humidity,ph,rainfall,label
3.278751103739621,57.264620694893964,36.56645937283685,33.048159220768575,56.585733550610286,5.689060417382915,70.94283861389336,mothbeans
30.969553245234568,52.812002202666775,25.934338976939912,26.902887202686042,62.79543322186989,6.783415435260125,148.50097478294464,mungbean
20.28029035052114,125.50862949823426,204.66133441960486,30.642203646735783,79.67972405441282,5.51328120345858,104.20152984797261,grapes
21.755747859705643,65.07391096616448,26.306317439483262,14.28872344011874,65.53275646696434,7.114438089860088,44.478872670049284,lentil
18.68696533409786,68.19296661562865,26.176876182849185,30.359768722766685,41.21104512482521,5.560463647976888,106.7826091399584,mothbeans
67.06506497340847,63.06065902057014,50.96220882748824,18.3126700377369,59.542611650555926,7.244612705560803,70.64212717606031,wheat
53.21176701872537,79.7677861255156,93.61022644994475,25.713747888191687,79.63676086749338,5.737361112722894,169.53542507318696,papaya
36.68086847522226,48.71479654535726,18.251207768222002,12.552918916378147,40.11235284133854,7.064314969969671,37.50096878488464,lentil
12.22305837311303,20.35277871378869,17.639160380905377,24.107526616745755,54.58131473305393,7.4954857542188265,142.55558776967175,orange
106.69662122135324,40.510617060715894,74.86207425832991,31.70109287967089,70.28899559100235,6.2073683484510855,46.367922461506524,muskmelon
7.848626046811811,51.92480259927274,23.590442511405655,25.799650159469195,43.00095013201461,6.515480122623037,82.6259261163096,lentil
103.33515410358397,68.80146146184298,65.6459053154119,20.4092266670065,56.28173330042789,6.377698588360429,84.56959935039194,wheat
39.021093160836074,23.329669622029105,179.75231724618806,2.164696804805865,68.18045007438329,5.5896317733046175,195.9235435323822,apple
105.20028541786093,93.8167680680308,51.87200820207356,27.668251541242014,88.58927878791967,6.400963496038764,197.64827762008707,banana
25.05108952529047,75.05945609773008,17.82505488411929,36.28177052814412,72.88482801651963,6.220340831067601,122.46313368993937,mungbean
16.16080411451254,30.64678159818079,27.750064617805116,10.22784091271492,40.03610841727054,7.232197124298709,43.2311947134188,lentil
67.51114753215303,67.42261148915885,57.21223579597851,13.00787090050505,54.74783640224311,6.096313405612701,108.19714019143987,wheat
42.58169513905168,58.91374041610204,28.866451376763933,34.91014390202169,69.62711664215705,6.520091542460255,139.7282672135522,blackgram
113.90724791848866,99.7035950373538,67.17573952449705,36.98700682667439,87.40423537626167,6.3444263331200865,156.91415704542683,banana
114.35005036763567,76.14281569798405,68.09584570161707,30.913054922942674,87.79434170510623,5.815055969318655,152.36723999989852,banana
94.60190266770405,57.29748666866012,64.92689698128748,26.116426276577734,75.11075283712334,6.273937695379652,54.43851050190452,muskmelon
16.74860025346578,76.76420345146826,43.320259320182046,22.647258281906183,62.96296650234315,6.860588146093097,93.23387095947562,pigeonpeas
99.04226808604247,79.66744561570943,70.81751211169347,28.157927326609194,75.04324421093732,6.35043714547285,44.573655635750555,muskmelon
17.500452250608056,87.67640106478248,21.161596088368775,31.119329011249963,44.22123492476723,7.362903642944742,95.3165851176898,pigeonpeas
72.52728589137845,97.73188260032342,96.28942747472843,38.63897565183011,82.80424889834718,6.040213171208407,146.50353247306728,papaya
60.76621942205011,73.07434243891012,45.74206912984297,35.07817267385434,74.68851200023029,6.345083745513234,154.51558083169783,jute
42.57276892774334,70.11852697706871,51.17295108605772,29.941249860616644,83.42170544926505,6.866192395764923,184.65543224654027,papaya
39.51930577681044,56.57501643406249,30.434130972171715,10.683961071485358,58.16587824673817,6.9695561201808935,37.40452348258469,lentil
72.4492223360543,61.13246176133927,85.87017777026051,39.14947595868479,83.19430522672192,6.310043788391032,146.1033568097812,papaya
12.18319788348996,41.42519181560557,38.71310258819089,34.96404592969345,45.96285942296281,3.9474053235426134,132.95231655007547,mothbeans
